gender,emotion,actor,file_path
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
male,neutral,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
male,happy,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
male,happy,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
male,disgust,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
male,disgust,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
male,neutral,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
male,disgust,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
male,disgust,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
male,happy,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
male,neutral,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
male,happy,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
male,happy,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
male,neutral,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
male,disgust,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
male,surprise,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
male,calm,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
male,angry,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
male,sad,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
male,fear,1,/home/pyt/Nextcloud/EOR/Master/Year 2/Machine Learning/Project/SER/helpers/../RAVDESS/Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
